planet_name,host_star_name,star_number_per_system,discovery_method,year_of_discovery,discovery_facility,orbital_period_day,orbit_semi_major_axis_au,planet_rad_earth_rad,planet_mass_earth_mass,orbital_eccentricity,planet_equil_temp_k,spectral_type,stellar_effective_temp_k,stellar_rad_solar_rad,stellar_mass_solar_mass,stellar_surf_grav,distance_parsec
11 Com b,11 Com,2.0,Radial Velocity,2007.0,Xinglong Station,324.62,1.226,,5505.06616195,0.2345,,G8 III,4808.0,16.38,2.4633333333333334,2.38,93.1846
11 UMi b,11 UMi,1.0,Radial Velocity,2009.0,Thueringer Landessternwarte Tautenburg,516.219985,1.5266666666666666,,3818.0947333333334,0.08,,K4 III,4276.5,26.935,2.0933333333333333,1.7650000000000001,125.32099999999998
14 And b,14 And,1.0,Radial Velocity,2008.0,Okayama Astrophysical Observatory,186.3,0.7616666666666667,,1224.5504335033334,0.0,,K0 III,4850.5,11.275,1.78,2.59,75.4392
14 Her b,14 Her,1.0,Radial Velocity,2002.0,W. M. Keck Observatory,1766.3784171428572,2.81475,,1642.38359194,0.362925,,K0 V,5296.985,0.9990845,0.9040000000000001,4.41800575,17.9323
16 Cyg B b,16 Cyg B,3.0,Radial Velocity,1996.0,Multiple Observatories,799.375,1.6628333333333334,,533.5145281766667,0.6760333333333334,,G2.5 V,5728.594,1.129135,1.0165992,4.3422932,21.1397
17 Sco b,17 Sco,1.0,Radial Velocity,2020.0,Lick Observatory,578.38,1.45,,1373.01871824,0.06,,K3 III,4157.0,25.92,1.22,1.7,124.953
18 Del b,18 Del,2.0,Radial Velocity,2008.0,Okayama Astrophysical Observatory,988.075,2.5386666666666664,,3109.015381083333,0.052000000000000005,,G6 III,4979.5,8.65,2.1,2.8440000000000003,76.222
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1.0,Imaging,2008.0,Gemini Observatory,,330.0,18.647,3135.75,,1750.0,K7 V,4043.25,1.33258,0.85,3.99592,139.135
24 Boo b,24 Boo,1.0,Radial Velocity,2018.0,Okayama Astrophysical Observatory,30.3403,0.192,,284.93389169,0.037000000000000005,,G3 IV,4854.5,11.415,1.02,2.3499999999999996,95.9863
24 Sex b,24 Sex,1.0,Radial Velocity,2010.0,Lick Observatory,452.8,1.333,,632.46,0.09,,,5098.0,4.9,1.54,3.5,72.0691
24 Sex c,24 Sex,1.0,Radial Velocity,2010.0,Lick Observatory,883.0,2.08,,273.32,0.29,,,5098.0,4.9,1.54,3.5,72.0691
2M0437 b,2MASS J04372171+2651014,1.0,Imaging,2021.0,Subaru Telescope,,118.0,,1271.313628,,1450.0,M V,3100.0,0.84,0.17,4.5,128.484
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2.0,Imaging,2013.0,Paranal Observatory,,84.0,,4131.79,,,M5.5/M6,,,0.19,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1.0,Imaging,2013.0,W. M. Keck Observatory,,52.0,11.209,7786.5,,1600.0,M3.5 V,3419.5,0.36645,0.3765925,4.85804,33.8281
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1.0,Imaging,2015.0,Cerro Tololo Inter-American Observatory,,156.0,16.14096,4417.837,,,M6,3064.0,0.281,0.108,4.59,
2MASS J0249-0557 c,2MASS J0249-0557 A,2.0,Imaging,2018.0,Mauna Kea Observatory,,1950.0,,3686.8095212,,,M6 V,,,0.046,,66.0613
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1.0,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,,572.0,,5720.911326,,2369.0,,,,,,117.435
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1.0,Imaging,2010.0,Hubble Space Telescope,,15.0,,2383.6,,,M8.5,,,0.019,,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1.0,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,,266.0,,8899.195396,,2677.0,,,,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1.0,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,,587.0,,6356.56814,,2506.0,,,,,,100.862
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1.0,Imaging,2004.0,Paranal Observatory,,50.5,,1430.075,,1200.0,M8,2825.0,0.21887,0.1060005,5.03186,64.308
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2.0,Eclipse Timing Variations,2015.0,Kepler,411.0,0.92,,597.51891851,0.33,,,29564.0,0.203,0.48,5.508,396.332
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1.0,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,,7493.0,,3813.940884,,1616.0,,,,,,34.1154
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1.0,Imaging,2016.0,W. M. Keck Observatory,,230.0,,3972.875,,,K7 V,4045.0,,0.6,,69.5737
2MASS J22501512+2325342 b,2MASS J22501512+2325342,1.0,Imaging,2018.0,The 2 (Two) Micron All Sky Survey (2MASS),,518.0,,9534.85221,,1600.0,M3,,,,,57.2309
4 UMa b,4 UMa,1.0,Radial Velocity,2006.0,Thueringer Landessternwarte Tautenburg,269.78499999999997,0.8734999999999999,,2383.990036055,0.4425,,K1 III,4415.0,18.11,1.234,1.8,73.4603
47 UMa b,47 UMa,1.0,Radial Velocity,1996.0,Lick Observatory,1083.04,2.0957999999999997,,812.2238312540001,0.0412,,G0 V,5861.053333333333,1.1749385,1.0615,4.3115845,13.796699999999998
47 UMa c,47 UMa,1.0,Radial Velocity,2001.0,Lick Observatory,4088.0,4.911333333333333,,251.81723942666667,0.09400000000000001,,G1 V,5850.58,1.1749385,1.032596,4.3115845,13.7967
47 UMa d,47 UMa,1.0,Radial Velocity,2009.0,Lick Observatory,16501.0,12.7,,500.570447285,0.27,,,5850.58,1.1749385,1.032596,4.3115845,13.7967
51 Eri b,51 Eri,3.0,Imaging,2015.0,Gemini Observatory,11917.666666666666,12.4,,2049.99481815,0.41,700.0,F0 IV,7295.0,1.48726,1.75,4.31078,29.7575
51 Peg b,51 Peg,1.0,Radial Velocity,1995.0,Haute-Provence Observatory,4.230530379999999,0.052262499999999996,,148.36025617,0.00344,,,5763.920000000001,1.181177,1.0350000000000001,4.315911,15.461400000000001
55 Cnc B b,55 Cnc B,2.0,Radial Velocity,2025.0,Mauna Kea Observatory,6.7994,0.044,,3.5,0.0,,M4.5 V,3286.0,0.274,0.26,4.86,12.4773
55 Cnc B c,55 Cnc B,2.0,Radial Velocity,2025.0,Mauna Kea Observatory,33.747,0.13,,5.3,0.0,,M4.5 V,3286.0,0.274,0.26,4.86,12.4773
55 Cnc b,55 Cnc,2.0,Radial Velocity,1996.0,Lick Observatory,14.648188500000002,0.11433978846153847,,264.07479309923076,0.012923076923076923,700.0,G8 V,5235.98625,0.9630672857142857,0.9299999999999999,4.423311375,12.5855
55 Cnc c,55 Cnc,2.0,Radial Velocity,2004.0,McDonald Observatory,44.333222222222226,0.24013622222222222,,55.65345195555555,0.10077777777777779,,G8 V,5241.127142857143,0.9630672857142857,0.9275,4.412355857142857,12.5855
55 Cnc d,55 Cnc,2.0,Radial Velocity,2002.0,Lick Observatory,4982.236363636363,5.596636363636364,,1144.0132926145454,0.11283636363636364,,G8 V,5241.127142857143,0.9630672857142857,0.9299999999999999,4.412355857142857,12.585499999999998
55 Cnc e,55 Cnc,2.0,Radial Velocity,2004.0,McDonald Observatory,0.9796100170588234,0.01933999225,1.9620000000000002,8.286054462307693,0.07366666666666667,1958.0,G8 V,5238.453076923077,0.9602778888888888,0.9140769230769231,4.428805916666667,12.5855
55 Cnc f,55 Cnc,2.0,Radial Velocity,2007.0,Multiple Observatories,260.78125,0.7815125,,47.52984875375,0.14875,,G8 V,5241.127142857143,0.9630672857142857,0.9242857142857143,4.412355857142857,12.5855
6 Lyn b,6 Lyn,1.0,Radial Velocity,2008.0,Okayama Astrophysical Observatory,906.9835,2.1295,,675.4694583925,0.0935,,K0 IV,4952.333333333333,5.135,1.4866666666666666,3.17,54.6599
61 Vir b,61 Vir,1.0,Radial Velocity,2009.0,Multiple Observatories,4.2149350000000005,0.0498805,,5.108518675,0.1095,,G5 V,5581.285,0.997755,0.928036,4.3543875,8.50332
61 Vir c,61 Vir,1.0,Radial Velocity,2009.0,Multiple Observatories,38.058350000000004,0.2163,,17.156950115,0.10400000000000001,,G5 V,5581.285,0.997755,0.928036,4.3543875,8.50332
61 Vir d,61 Vir,1.0,Radial Velocity,2009.0,Multiple Observatories,123.01,0.476,,22.9,0.35,,G5 V,5577.0,0.963,0.942,4.34,8.50332
7 CMa b,7 CMa,1.0,Radial Velocity,2011.0,Anglo-Australian Telescope,764.6999999999999,1.847,,703.161825,0.14,,K1 III,4804.173333333333,4.992143333333334,1.3895,3.2016666666666667,19.8101
7 CMa c,7 CMa,1.0,Radial Velocity,2019.0,Multiple Observatories,996.0,2.1790000000000003,,283.20605,0.08,,,4826.0,5.034000000000001,1.3895,3.1775,19.8101
70 Vir b,70 Vir,1.0,Radial Velocity,1996.0,Lick Observatory,116.68995833333334,0.47641666666666665,,2315.677210435,0.3990666666666667,,,5498.372,1.9059715,1.0966666666666667,3.9562938,17.9011
75 Cet b,75 Cet,2.0,Radial Velocity,2012.0,Okayama Astrophysical Observatory,694.26,2.0060000000000002,,870.6933104750001,0.10500000000000001,,G3 III,4827.5,10.440000000000001,2.205,2.66,82.9613
75 Cet c,75 Cet,2.0,Radial Velocity,2023.0,Okayama Astrophysical Observatory,2051.62,3.929,,289.85950718,0.023,,G3 III,4809.0,10.38,1.92,2.69,82.9613
8 UMi b,8 UMi,1.0,Radial Velocity,2015.0,Bohyunsan Optical Astronomical Observatory,93.37,0.48066666666666663,,472.50639051666667,0.06066666666666667,,K0,4847.133333333333,10.515,1.475,2.57,162.552
81 Cet b,81 Cet,1.0,Radial Velocity,2008.0,Okayama Astrophysical Observatory,979.135,2.258,,1336.6195139833335,0.1215,,G5 III,4759.5,11.105,1.415,2.38,101.26
91 Aqr b,91 Aqr,3.0,Radial Velocity,2013.0,Lick Observatory,181.4,0.7,,1017.0,0.027,,K0 III,4665.0,11.0,1.4,2.52,44.0304
AB Aur b,AB Aur,1.0,Imaging,2022.0,Subaru Telescope,,93.9,,2860.455663,0.4,,,9770.0,,2.4,,162.127
AB Pic b,AB Pic,1.0,Imaging,2005.0,Paranal Observatory,,260.0,,4290.5,,,K2 V,,,,,50.0475
AF Lep b,AF Lep,1.0,Imaging,2023.0,Paranal Observatory,8378.75,8.6715,,1298.8852423075,0.26125,1400.0,F8 V,6123.333333333333,1.25,1.2063333333333333,4.4,26.8564
AT2021ueyL b,AT2021ueyL,1.0,Microlensing,2025.0,Multiple Observatories,4168.69,4.01,,425.89006538,,,M V,3680.0,,0.49,,1040.0
AU Mic b,AU Mic,1.0,Transit,2020.0,Transiting Exoplanet Survey Satellite (TESS),8.46312982,0.06486,4.1050362975,19.918485714285715,0.06453857142857143,596.5,M1,3686.8571428571427,0.749,0.5016666666666666,4.444799999999999,9.7221
AU Mic c,AU Mic,1.0,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),18.859077000000003,0.11025,2.8506735533333334,14.24,0.043595,456.5,,3681.6,0.7484999999999999,0.5025,4.4585,9.7221
AU Mic d,AU Mic,1.0,Transit Timing Variations,2023.0,Multiple Observatories,12.73596,,,1.053,0.00305,,,3678.0,0.744,0.51,4.404,9.7221
AU Mic e,AU Mic,1.0,Radial Velocity,2025.0,Mauna Kea Observatory,33.25,,,28.150000000000002,,,,3665.0,0.82,0.6,4.52,9.7221
BD+03 2562 b,BD+03 2562,1.0,Radial Velocity,2017.0,Multiple Observatories,481.9,1.3,,2034.112,0.2,,,4095.0,32.35,1.14,1.89,1070.63
BD+05 4868 A b,BD+05 4868 A,2.0,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),1.271869,0.0208,,6.2,,1820.0,K V,4596.0,0.69,0.7,4.6,43.5687
BD+14 4559 b,BD+14 4559,1.0,Radial Velocity,2009.0,McDonald Observatory,268.94,0.7785,,398.8666,0.29,,K2 V,4936.0,0.905,0.675,4.43,49.352
BD+15 2375 b,BD+15 2375,1.0,Radial Velocity,2016.0,Roque de los Muchachos Observatory,153.22,0.576,,337.21763,0.001,,,4649.0,8.95,1.08,2.61,768.045
BD+15 2940 b,BD+15 2940,1.0,Radial Velocity,2013.0,McDonald Observatory,137.48,0.539,,352.78,0.26,,K0,4796.0,14.7,1.1,2.8,426.42
BD+20 2457 b,BD+20 2457,1.0,Radial Velocity,2009.0,McDonald Observatory,379.63,1.25,,12237.89985,0.15,,K2 II,4198.0,60.01,6.8149999999999995,1.6400000000000001,1539.71
BD+20 2457 c,BD+20 2457,1.0,Radial Velocity,2009.0,McDonald Observatory,621.99,2.01,,3963.17,0.18,,K2 II,4137.0,49.0,2.8,1.51,1539.71
BD+20 274 b,BD+20 274,1.0,Radial Velocity,2012.0,McDonald Observatory,578.2,1.3,,1334.886,0.21,,K5 III,4296.0,17.3,0.8,1.99,1322.51
BD+20 594 b,BD+20 594,1.0,Transit,2016.0,K2,41.686547999999995,0.241,2.3878411699999997,19.274050000000003,0.0,546.0,G,5745.0,0.9880406666666667,1.1982869999999999,4.46,179.461
BD+37 3172 b,BD+37 3172,1.0,Radial Velocity,2023.0,McDonald Observatory,1887.76,4.65,,3368.9811142,0.59,,,4500.0,50.24,3.75,1.5,454.251
BD+42 2315 b,BD+42 2315,1.0,Radial Velocity,2023.0,McDonald Observatory,123.05,0.54,,174.80562385,0.73,,,4500.0,17.85,1.38,2.0,610.715
BD+45 564 b,BD+45 564,1.0,Radial Velocity,2021.0,Haute-Provence Observatory,307.88,0.83,,432.24663352,0.12,,K1,5004.0,,0.81,4.22,53.622
BD+48 738 b,BD+48 738,1.0,Radial Velocity,2011.0,McDonald Observatory,392.6,1.0,,289.2253,0.2,,K0 III,4414.0,11.0,0.74,2.24,871.493
BD+48 740 b,BD+48 740,1.0,Radial Velocity,2018.0,Multiple Observatories,733.0,1.7,,540.311,0.76,,,4534.0,10.33,1.09,2.48,666.589
BD+49 828 b,BD+49 828,1.0,Radial Velocity,2015.0,McDonald Observatory,2590.0,4.2,,508.5,0.35,,K0,4943.0,7.6,1.52,2.85,442.042
BD+55 362 b,BD+55 362,1.0,Radial Velocity,2021.0,Haute-Provence Observatory,265.59,0.78,,228.83645304,0.27,,K3,5012.0,,0.909,4.09,52.5697
BD+60 1417 b,BD+60 1417,1.0,Imaging,2021.0,Wide-field Infrared Survey Explorer (WISE) Sat,,1662.0,14.68376472,4767.426105,,1303.0,K0,4993.0,0.797,1.0,4.5539,44.9543
BD+63 1405 b,BD+63 1405,1.0,Radial Velocity,2021.0,Haute-Provence Observatory,1214.24,2.0875000000000004,,2282.00796226,0.8855,,K0,5000.0,,0.816,4.2,38.0473
BD-06 1339 b,BD-06 1339,1.0,Radial Velocity,2013.0,La Silla Observatory,3.8729,0.0428,,765.76686317,0.0,,K7/M0 V,4324.0,,0.7,4.74,20.2695
BD-06 1339 c,BD-06 1339,1.0,Radial Velocity,2013.0,La Silla Observatory,125.94,0.435,,53.0,0.31,,K7/M0 V,4324.0,,0.7,4.74,20.2695
BD-08 2823 b,BD-08 2823,1.0,Radial Velocity,2009.0,La Silla Observatory,5.599999999999999,0.057999999999999996,,991.8691105799999,0.15,,K3 V,4781.0,0.71,0.62,4.279999999999999,41.3342
BD-08 2823 c,BD-08 2823,1.0,Radial Velocity,2009.0,La Silla Observatory,237.6,0.68,,104.0,0.19,,K3 V,4746.0,,0.74,4.13,41.3342
BD-10 3166 b,BD-10 3166,1.0,Radial Velocity,2000.0,W. M. Keck Observatory,3.48761125,0.04405,,157.083663685,0.02775,,K0 V,5392.16,0.9398725,1.14488275,4.559966,84.4069
BD-11 4672 b,BD-11 4672,1.0,Radial Velocity,2014.0,La Silla Observatory,1650.5,2.32,,187.51475,0.05,,K7 V,4512.5,0.5795,0.611,4.371,27.1665
BD-11 4672 c,BD-11 4672,1.0,Radial Velocity,2020.0,Roque de los Muchachos Observatory,74.2,0.3,,15.37,0.4,,,4550.0,0.639,0.651,4.642,27.1665
BD-13 2130 b,BD-13 2130,1.0,Radial Velocity,2007.0,La Silla Observatory,714.299995,1.88,,3238.6877,0.21,,,4545.0,19.17,2.26,2.2,925.214
BD-14 3065 b,BD-14 3065 A,3.0,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),4.2889731,0.0656,21.59,3932.0,0.066,2001.0,,6935.0,2.35,1.41,3.85,589.423
BD-17 63 b,BD-17 63,1.0,Radial Velocity,2008.0,La Silla Observatory,653.942495,1.34,,1383.343057555,0.47597500000000004,,K5 V,4689.5,0.715,0.7404999999999999,4.225,34.4603
BD-210397 b,BD-210397,1.0,Radial Velocity,2023.0,La Silla Observatory,1891.0,2.63,,214.0,0.1,,K7 V,4051.0,0.747,0.679,4.67,23.7324
BD-210397 c,BD-210397,1.0,Radial Velocity,2023.0,La Silla Observatory,6324.666666666667,5.920000000000001,,1235.08977763,0.2753333333333333,,K7 V,4051.0,0.747,0.6866666666666666,4.67,23.7324
BEBOP-3 b,BEBOP-3,2.0,Radial Velocity,2025.0,Haute-Provence Observatory,547.0,1.444,,177.34825111,0.247,,,6033.0,1.414,1.083,4.203,119.052
BEBOP-4 AB b,BEBOP-4 A,2.0,Radial Velocity,2025.0,Haute-Provence Observatory,1823.5,3.634,,8358.8871041,0.428,,G3 V,,,1.507,,234.294
Barnard b,Barnard's star,1.0,Radial Velocity,2024.0,Paranal Observatory,3.15375,0.02292,,0.3345,0.095,419.0,M3.5-4 V,3195.0,0.185,0.162,4.9,1.82655
Barnard c,Barnard's star,1.0,Radial Velocity,2025.0,Gemini Observatory,4.1244,0.0274,,0.335,0.08,400.0,M3.5-4 V,3195.0,0.185,0.162,4.9,1.82655
Barnard d,Barnard's star,1.0,Radial Velocity,2025.0,Gemini Observatory,2.3402,0.0188,,0.263,0.04,483.0,M3.5-4 V,3195.0,0.185,0.162,4.9,1.82655
Barnard e,Barnard's star,1.0,Radial Velocity,2025.0,Gemini Observatory,6.7392,0.0381,,0.193,0.04,340.0,M3.5-4 V,3195.0,0.185,0.162,4.9,1.82655
CD Cet b,CD Cet,1.0,Radial Velocity,2020.0,Calar Alto Observatory,2.2907,0.0185,,3.95,,464.0,M5.0 V,3130.0,0.175,0.161,4.93,8.60715
CD-35 2722 b,CD-35 2722,1.0,Imaging,2011.0,Gemini Observatory,,67.0,17.37392009,9614.30931175,,1800.0,M1 V,3684.5,,0.4,4.24,22.3896
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1.0,Imaging,2011.0,W. M. Keck Observatory,10037.5,2.6,,3337.1,,370.0,,580.5,,0.021,4.725,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1.0,Imaging,2021.0,Hubble Space Telescope,8040000.0,200.0,20.8487041,2479.0615746,,1800.0,M9-L1,2320.0,0.245,0.0147,3.845,
CHXR 73 b,CHXR 73,1.0,Imaging,2006.0,Hubble Space Telescope,,210.0,,3994.486,,,M3.5,,,0.35,,190.374
CI Tau c,CI Tau,1.0,Radial Velocity,2024.0,Multiple Observatories,25.2,0.17,,1144.1822652,0.58,,,,,,,157.998
COCONUTS-2 b,COCONUTS-2 A,1.0,Imaging,2021.0,NASA Infrared Telescope Facility (IRTF),402000000.0,7506.0,12.44196858,2272.4731100500003,,434.0,M3 V,3406.0,0.388,0.37,4.83,10.8864
CT Cha b,CT Cha,1.0,Imaging,2007.0,Paranal Observatory,,440.0,24.66,5403.0,,2600.0,,,,,,190.72
CoRoT-1 b,CoRoT-1,1.0,Transit,2008.0,CoRoT,1.5089655873333332,0.02622,17.1629388,348.97436,0.02675,1882.3333333333333,G0 V,6019.6,1.15275,0.9766666666666666,4.270333333333333,787.909
CoRoT-10 b,CoRoT-10,1.0,Transit,2010.0,CoRoT,13.2406,0.10566666666666667,10.763466333333334,875.0811,0.527,623.5,K1 V,5075.0,0.7743333333333333,0.8946666666666667,4.651,338.386
CoRoT-11 b,CoRoT-11,1.0,Transit,2010.0,CoRoT,2.994317606,0.043795,15.905853500000001,777.085875,0.12,1702.3333333333333,F6 V,6420.6,1.3623333333333336,1.26,4.2435,655.037
CoRoT-12 b,CoRoT-12,1.0,Transit,2010.0,CoRoT,2.828043936,0.0397225,15.6195015,285.4083125,0.060000000000000005,1423.0,,5675.0,1.0886,1.0630000000000002,4.383,1126.37
CoRoT-13 b,CoRoT-13,1.0,Transit,2010.0,CoRoT,4.03518,0.05102333333333333,11.291210999999999,418.57622999999995,0.0335,1566.0,G0 V,5945.0,1.01,1.089,4.394666666666667,1148.93
CoRoT-14 b,CoRoT-14,1.0,Transit,2010.0,CoRoT,1.5121399999999998,0.026926666666666668,11.949524000000002,2403.8182333333334,0.018,1944.0,F9 V,6036.666666666667,1.2033333333333334,1.1283333333333332,4.343999999999999,1744.5999999999997
CoRoT-16 b,CoRoT-16,1.0,Transit,2011.0,CoRoT,5.35227,0.0618,13.112265,169.08203500000002,0.35,,G5 V,5650.0,1.19,1.098,4.36,732.409
CoRoT-17 b,CoRoT-17,1.0,Transit,2011.0,CoRoT,3.7681,0.04743333333333333,11.383547666666667,773.3740333333334,0.0405,1618.0,G2 V,5740.0,1.59,1.0410000000000001,4.2175,1176.12
CoRoT-18 b,CoRoT-18,1.0,Transit,2011.0,CoRoT,1.90007496,0.0291,14.05794075,1072.6637249999999,0.052500000000000005,1509.0,G9 V,5440.0,0.981,0.9325,4.43325,764.889
CoRoT-19 b,CoRoT-19,1.0,Transit,2011.0,CoRoT,3.89713178,0.05155333333333333,14.086106666666666,355.4361166666667,0.051500000000000004,1815.0,F9 V,6090.0,1.65,1.21,4.081250000000001,790.663
CoRoT-2 b,CoRoT-2,2.0,Transit,2008.0,CoRoT,1.7429964216666667,0.028214,16.358674999999998,1090.1411666666665,0.009575,1534.6666666666667,,5629.444444444444,0.9036,0.9738,4.446428333333333,213.283
CoRoT-20 b,CoRoT-20,1.0,Transit,2011.0,CoRoT,9.242916000000001,0.08972,10.76175,1396.53318,0.5756666666666667,1042.0,G2 V,5880.0,1.16,1.1324999999999998,4.260000000000001,844.061
CoRoT-20 c,CoRoT-20,1.0,Radial Velocity,2018.0,Multiple Observatories,1675.0,2.9,,5403.11,0.6,,,,,1.14,,844.061
CoRoT-21 b,CoRoT-21,1.0,Transit,2012.0,CoRoT,2.72474,0.04165,14.5717,711.9392,0.195,,F8 IV,6200.0,1.95,1.29,3.7,
CoRoT-22 b,CoRoT-22,1.0,Transit,2014.0,CoRoT,9.75598,0.092,4.88,12.2,0.077,885.0,G3 V,5939.0,1.136,1.099,4.361,627.158
CoRoT-23 b,CoRoT-23,1.0,Transit,2011.0,CoRoT,3.6313,0.048163333333333336,12.255356666666666,948.1848333333334,0.16,1685.0,G0 V,5900.0,1.61,1.1340000000000001,4.154,1060.97
CoRoT-24 b,CoRoT-24,1.0,Transit,2014.0,CoRoT,5.1134,0.056,3.7,5.7,0.0,1070.0,K1 V,4950.0,0.86,0.91,4.55,591.555
CoRoT-24 c,CoRoT-24,1.0,Transit,2014.0,CoRoT,11.759,0.098,5.0,28.0,0.0,850.0,K1 V,4950.0,0.86,0.91,4.55,591.555
CoRoT-25 b,CoRoT-25,1.0,Transit,2013.0,CoRoT,4.86069,0.057844999999999994,12.107859999999999,89.467095,0.11,1330.0,F9,6040.0,1.19,1.09,4.31,1103.48
CoRoT-26 b,CoRoT-26,1.0,Transit,2013.0,CoRoT,4.20474,0.05255,14.12167,174.8007,0.205,1600.0,G5,5590.0,1.79,1.09,3.99,1045.18
CoRoT-27 b,CoRoT-27,1.0,Transit,2014.0,CoRoT,3.57532,0.04715,11.2872315,3287.8795,0.0495,1500.0,G2,5900.0,1.08,1.05,4.4,1010.28
CoRoT-28 b,CoRoT-28,1.0,Transit,2015.0,CoRoT,5.20851,0.059649999999999995,10.704595,153.35297500000001,0.059,,G8/9 IV,5150.0,1.78,1.01,3.6,766.183
CoRoT-29 b,CoRoT-29,1.0,Transit,2015.0,CoRoT,2.8505671666666665,0.0388,10.0881,268.56635,0.101,,K0 V,5262.666666666667,0.9,0.97,4.31386,806.507
CoRoT-3 b,CoRoT-3,1.0,Transit,2008.0,CoRoT,4.25679955,0.05739,11.3499609,6856.315725,0.008,1695.0,F3 V,6694.5,1.55875,1.37,4.2203333333333335,768.771
CoRoT-30 b,CoRoT-30,1.0,Transit,2020.0,CoRoT,9.06005,0.0844,11.309881,921.707,0.007,,G3 V,5650.0,0.91,0.98,4.4,1032.23
CoRoT-31 b,CoRoT-31,1.0,Transit,2020.0,CoRoT,4.62941,0.0586,16.36514,266.9772,0.02,,G2 IV,5700.0,2.15,1.25,3.85,2005.76
CoRoT-32 b,CoRoT-32,1.0,Transit,2018.0,CoRoT,6.7183689,0.071,6.38913,47.6745,,938.0,G0 VI,5970.0,0.79,1.08,4.67,576.683
CoRoT-35 b,CoRoT-35,1.0,Transit,2022.0,CoRoT,3.22748,0.0429,18.83108758,349.6112477,0.0,1747.0,F6 V,6390.0,1.65,1.01,4.01,1123.21
CoRoT-36 b,CoRoT-36,1.0,Transit,2022.0,CoRoT,5.616531,0.066,15.80466279,216.12331676,0.0,1567.0,F3 V,6730.0,1.52,1.32,4.16,925.958
CoRoT-4 b,CoRoT-4,1.0,Transit,2008.0,CoRoT,9.20205,0.09048333333333332,13.22705,228.1994066666667,0.07,1066.0,,6190.0,1.1624999999999999,1.16,4.402950000000001,726.4119999999999
CoRoT-5 b,CoRoT-5,1.0,Transit,2009.0,CoRoT,4.0379039599999995,0.04966,14.6109085,148.9017025,0.0885,1394.3333333333333,F9 V,6100.0,1.1623333333333334,1.0,4.3114333333333335,882.472
CoRoT-6 b,CoRoT-6,1.0,Transit,2009.0,CoRoT,8.886601924999999,0.08546666666666668,13.140119666666665,939.7051,0.14,1021.0,F9 V,6090.0,1.031,1.0513333333333332,4.4275,645.294
CoRoT-7 b,CoRoT-7,1.0,Transit,2009.0,CoRoT,0.85362873375,0.0170232,1.6525073333333333,7.2493581475,0.03,1833.0,G9 V,5266.75,0.8534892,0.8877142857142858,4.510008571428572,159.906
CoRoT-7 c,CoRoT-7,1.0,Radial Velocity,2009.0,CoRoT,3.6983333333333337,0.0455,,11.749666666666668,0.06,,G9 V,5254.0,0.864273,0.9043333333333333,4.51853,159.906
CoRoT-7 d,CoRoT-7,1.0,Radial Velocity,2022.0,La Silla Observatory,8.966,,,17.142,,,G9 V,5250.0,,0.915,,159.906
CoRoT-8 b,CoRoT-8,1.0,Transit,2010.0,CoRoT,6.2123515000000005,0.0633225,6.92457725,69.28629000000001,0.095,896.0,K1 V,5080.0,0.7806666666666667,0.882,4.545,322.037
CoRoT-9 b,CoRoT-9,2.0,Transit,2009.0,CoRoT,95.27312739999999,0.403675,11.822830249999999,266.33974,0.12566666666666668,416.5,G3 V,5625.0,0.9533333333333333,0.96,4.518666666666667,412.98
DE CVn b,DE CVn,2.0,Eclipse Timing Variations,2018.0,Multiple Facilities,4098.1,5.75,,3823.27330161,0.0,,,,,0.51,,30.5225
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1.0,Astrometry,2013.0,Paranal Observatory,246.36,0.36,,9057.77,0.345,,L1.5,,,0.075,,
DH Tau b,DH Tau,1.0,Imaging,2004.0,Subaru Telescope,,330.0,30.2643,3496.065,,2200.0,M0.5,4371.0,0.818435,0.5065000000000001,4.00103,134.846
DMPP-1 b,DMPP-1,1.0,Radial Velocity,2019.0,La Silla Observatory,18.57,0.1462,,24.27,0.083,877.0,F8 V,6196.0,1.26,1.21,4.41,62.5388
DMPP-1 c,DMPP-1,1.0,Radial Velocity,2019.0,La Silla Observatory,6.584,0.0733,,9.6,0.057,1239.0,F8 V,6196.0,1.26,1.21,4.41,62.5388
